obsstednr,Cluster,eps_used,min_samples
10000009,-1,0.05,2
11000011,-1,0.05,2
11000016,-1,0.05,2
13000011,-1,0.05,2
13000019,-1,0.05,2
13000065,-1,0.05,2
14000016,-1,0.05,2
14000020,-1,0.05,2
14000022,-1,0.05,2
15000002,0,0.05,2
15000032,-1,0.05,2
15000043,0,0.05,2
15000069,-1,0.05,2
15000073,-1,0.05,2
15000109,-1,0.05,2
16000023,-1,0.05,2
16000024,-1,0.05,2
16000030,-1,0.05,2
16000070,-1,0.05,2
17000004,-1,0.05,2
17000007,-1,0.05,2
18000077,-1,0.05,2
18000078,-1,0.05,2
19000012,-1,0.05,2
19000015,-1,0.05,2
20000024,-1,0.05,2
20000026,-1,0.05,2
20000034,-1,0.05,2
2000005,-1,0.05,2
20000790,-1,0.05,2
21000030,1,0.05,2
21000040,-1,0.05,2
21000062,-1,0.05,2
21000065,-1,0.05,2
21000072,-1,0.05,2
21000084,-1,0.05,2
21000085,-1,0.05,2
21000089,-1,0.05,2
21000090,-1,0.05,2
21000110,-1,0.05,2
21000413,-1,0.05,2
21000461,-1,0.05,2
21000467,-1,0.05,2
21000487,-1,0.05,2
21000526,-1,0.05,2
21000528,-1,0.05,2
21000529,-1,0.05,2
21000535,-1,0.05,2
21000548,-1,0.05,2
21000557,-1,0.05,2
21000563,-1,0.05,2
21000569,-1,0.05,2
21000572,-1,0.05,2
21000577,-1,0.05,2
21000647,-1,0.05,2
21000665,-1,0.05,2
21000666,1,0.05,2
21000712,-1,0.05,2
21000745,-1,0.05,2
21000752,-1,0.05,2
21000759,-1,0.05,2
21000786,-1,0.05,2
21000794,-1,0.05,2
21000803,-1,0.05,2
21000861,-1,0.05,2
21000872,-1,0.05,2
21000873,-1,0.05,2
21001663,-1,0.05,2
21006035,2,0.05,2
21006036,2,0.05,2
21006037,-1,0.05,2
21006038,-1,0.05,2
22000043,-1,0.05,2
22000048,-1,0.05,2
22000050,-1,0.05,2
22000053,-1,0.05,2
22000062,-1,0.05,2
22000225,-1,0.05,2
22000234,-1,0.05,2
22000336,-1,0.05,2
23000083,-1,0.05,2
23000173,-1,0.05,2
25000018,-1,0.05,2
25000020,-1,0.05,2
25000021,-1,0.05,2
25000075,-1,0.05,2
25000078,-1,0.05,2
25000082,-1,0.05,2
25000085,-1,0.05,2
25000086,-1,0.05,2
25000097,-1,0.05,2
25000733,-1,0.05,2
25003189,-1,0.05,2
26000037,-1,0.05,2
26000080,-1,0.05,2
26000082,-1,0.05,2
26000096,-1,0.05,2
27000003,-1,0.05,2
27000004,-1,0.05,2
27000045,-1,0.05,2
28000001,-1,0.05,2
29000009,-1,0.05,2
3000002,-1,0.05,2
3000003,-1,0.05,2
30000052,-1,0.05,2
31000017,-1,0.05,2
31000021,-1,0.05,2
31000027,-1,0.05,2
31000031,-1,0.05,2
31000032,-1,0.05,2
32000001,-1,0.05,2
32000004,-1,0.05,2
32000013,-1,0.05,2
32000022,-1,0.05,2
32000030,-1,0.05,2
33000004,-1,0.05,2
34000002,-1,0.05,2
34000003,-1,0.05,2
34000019,-1,0.05,2
34000023,-1,0.05,2
35000006,3,0.05,2
35000010,-1,0.05,2
35000013,-1,0.05,2
35000018,3,0.05,2
36000008,-1,0.05,2
36000009,-1,0.05,2
36000012,-1,0.05,2
36000015,-1,0.05,2
36000016,-1,0.05,2
36000018,-1,0.05,2
37000011,-1,0.05,2
37000034,-1,0.05,2
37000038,-1,0.05,2
37000039,-1,0.05,2
37000255,-1,0.05,2
37000259,-1,0.05,2
38000023,-1,0.05,2
38000024,-1,0.05,2
38000047,-1,0.05,2
38000107,-1,0.05,2
39000001,-1,0.05,2
39000002,-1,0.05,2
40000001,-1,0.05,2
4000002,4,0.05,2
4000005,4,0.05,2
41000012,-1,0.05,2
41000014,-1,0.05,2
41000016,-1,0.05,2
41000020,-1,0.05,2
41000024,-1,0.05,2
41000140,-1,0.05,2
41000141,-1,0.05,2
42000012,-1,0.05,2
42000014,-1,0.05,2
42000019,-1,0.05,2
42000020,-1,0.05,2
42000021,-1,0.05,2
42000022,-1,0.05,2
42000074,-1,0.05,2
42000125,-1,0.05,2
43000001,-1,0.05,2
44000021,-1,0.05,2
44000106,-1,0.05,2
44000188,-1,0.05,2
45000002,-1,0.05,2
45000003,-1,0.05,2
45000004,-1,0.05,2
45000005,-1,0.05,2
45000034,-1,0.05,2
45000035,-1,0.05,2
45000043,-1,0.05,2
45000045,-1,0.05,2
45000058,-1,0.05,2
45000059,-1,0.05,2
45000090,-1,0.05,2
45000369,-1,0.05,2
46000001,-1,0.05,2
46000017,-1,0.05,2
46000018,-1,0.05,2
46000019,-1,0.05,2
46000030,-1,0.05,2
46000174,-1,0.05,2
47000001,-1,0.05,2
47000036,-1,0.05,2
47000037,-1,0.05,2
48000004,-1,0.05,2
48000006,-1,0.05,2
48000007,-1,0.05,2
48000010,-1,0.05,2
48000011,-1,0.05,2
49000054,-1,0.05,2
49000057,-1,0.05,2
49000061,-1,0.05,2
49000066,-1,0.05,2
49000092,-1,0.05,2
49000094,-1,0.05,2
5000003,-1,0.05,2
50000045,-1,0.05,2
50000046,-1,0.05,2
50000048,-1,0.05,2
50000051,-1,0.05,2
50000055,-1,0.05,2
50000056,-1,0.05,2
50000057,-1,0.05,2
50000058,-1,0.05,2
51000024,-1,0.05,2
51000026,-1,0.05,2
52000020,-1,0.05,2
52000025,-1,0.05,2
52000029,-1,0.05,2
52000033,-1,0.05,2
52000039,-1,0.05,2
52000063,-1,0.05,2
52000064,-1,0.05,2
52000068,-1,0.05,2
52000198,-1,0.05,2
52000199,-1,0.05,2
52000870,-1,0.05,2
53000010,-1,0.05,2
53000011,-1,0.05,2
53000028,-1,0.05,2
53000029,-1,0.05,2
53000235,-1,0.05,2
54000002,-1,0.05,2
55000015,-1,0.05,2
55000017,-1,0.05,2
55000018,-1,0.05,2
55000051,-1,0.05,2
56000001,-1,0.05,2
56000002,-1,0.05,2
56000003,-1,0.05,2
56000005,-1,0.05,2
56000006,-1,0.05,2
56000007,-1,0.05,2
57000044,-1,0.05,2
57000049,-1,0.05,2
57000050,-1,0.05,2
57000052,-1,0.05,2
57000055,-1,0.05,2
57000058,-1,0.05,2
57000063,-1,0.05,2
58000019,-1,0.05,2
58000047,-1,0.05,2
59000006,-1,0.05,2
6000001,-1,0.05,2
60000027,-1,0.05,2
60000031,-1,0.05,2
60000035,-1,0.05,2
60000036,-1,0.05,2
61000012,-1,0.05,2
61000013,-1,0.05,2
62000014,-1,0.05,2
62000017,-1,0.05,2
64000025,-1,0.05,2
66000014,-1,0.05,2
67000017,-1,0.05,2
67000018,-1,0.05,2
67000019,-1,0.05,2
7000003,-1,0.05,2
8000001,-1,0.05,2
9000001,-1,0.05,2
9000015,-1,0.05,2
25000592,-1,0.05,2
